"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"34641","433","Torque","II","National Museum of Science and Art, Dublin,Plate XIII.97.R1668,Purchased from the representatives of Messrs. Law & Son in whose possession it was stated to have been for many years.","Ireland,County Wexford,Gorey,Found whilst sinking a quarry for a Railway at Gorey.","Gorey, Co. Wexford, Ireland","52.67573549999999","-6.294302199999947","","None","None","None","","207 x 194","","356.35","","","","","Gold","","Repaired; in two pieces, a portion of it is missing.  It had been cut into 9 fragments. Its ends are re-curved. Made by screw twisting a rod of square section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16632761190","https://farm8.staticflickr.com/7653/16632761190_5d80eacf8f_m.jpg"
"34641","580","Torque","II","National Museum of Science & Art, Dublin, Plate XIII, 97, R 1668, Purchased from the representatives of Messrs. Law & Son, in whom possession it was stated to have been for many years.","Ireland, Co Wexford, Gorey, found whilst sinking a quarry for a railway at Gorey","Gorey, Co. Wexford, Irlande","52.67573549999999","-6.294302199999947","","None","None","None","","207 x 194","","356.35","","","","","Gold","","Repaired; in two pieces, a portion of it is missing. It had been cut into 9 fragments. Its ends are removed. Made by screw twisting a rod of square section.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16632761190","https://farm8.staticflickr.com/7653/16632761190_5d80eacf8f_m.jpg"
"34641","734","Torque","II, , , , [also, very faintly]:, ,  79   P.60","National Museum of Science Dublin, ,   Plate XIII.  97.  R. 1668, , Purchased from the representatives of Messrs. Law/sons. in whose possession it was stated to have been for many years.","Ireland, Co Wexford, Gorey, found whilst sinking a quarry for a Railway at Gorky.","",,,"","None","None","None","","207  x  194","","356.25","","","","Detailed, hand-drawn illustration indicating dimensions., , , , Brown rectangles on the illustration.  Their meaning is unclear.","","","Repaired; in two pieces, a portion of it is missing.  It had been cut into 9 fragments., , Its ends are re-curved.  Made by screw twisting a rod of square section.","","","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16632761190","https://farm8.staticflickr.com/7653/16632761190_5d80eacf8f_m.jpg"
"34642","433","Torque","II","National Museum of Scient and Art, Dublin,Plate XII.87.W180","Ireland,County Wexford,near Enniscorthy","Enniscorthy, Co. Wexford, Ireland","52.5021968","-6.566130100000009","","None","None","None","","280 x 273.5","","281.8","","","","","Gold","Found with another torque No. 79, Plate XII","Made of a plain rod of square section, its ends are re-curved.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16634036639","https://farm8.staticflickr.com/7615/16634036639_beaaceb047_m.jpg"
"34642","580","Torque","II","National Museum of Science & Art, Dublin, Plate XII, 87, W 180.","Ireland, Co Wexford, near Enniscorthy","Enniscorthy, Co. Wexford, Irlande","52.5021968","-6.566130100000009","","None","None","None","280 x 273.5","","","281.8","","","","","Gold","found with another torque No. 79, Plate XII.","Made of a plain rod of square section, its ends are re-curved.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16634036639","https://farm8.staticflickr.com/7615/16634036639_beaaceb047_m.jpg"
"34642","734","Torque","RED DOT, , [followed by notation, in pencil]:, , I I","National Museum of Science and Art.  Dublin, ,    Plate XII.  89.  W180","Ireland, County Wexford, near Enniscorthy","enniscorthy",,,"","None","None","None","","280 x 273.5","","281.8","","","","Hand-drawn illustration with dimensions.  Includes brown, rectangles.  Their meaning is unclear.","gold","found with another torque  No. 79.  Plate XII.","Made of a plain rod of square section.  its ends are re-curved.","","","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16634036639","https://farm8.staticflickr.com/7615/16634036639_beaaceb047_m.jpg"
"34643","433","Torque","II","National Museum of Science and Art, Sublin.,Plate XII.79.W186","Ireland,County Wexford,near Enniscorthy","Enniscorthy, Co. Wexford, Ireland","52.5021968","-6.566130100000009","","None","None","None","","144 x 135","","148.34","","","7","","Gold","Found with another torque, No. 87, Plate XII.","Made from a plain rod of circular section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16632762240","https://farm8.staticflickr.com/7628/16632762240_d9b9abc39e_m.jpg"
"34643","580","Torque","79, II","National Museum of Science & Art, Dublin, Plate XII, 79, W 186.","Ireland, Co Wexford, near Enniscorthy","Enniscorthy, Co. Wexford, Irlande","52.5021968","-6.566130100000009","","None","None","None","","144 x 135","","148.34","","","7","","Gold","","Made from a plain rod of circular section.","","found with another torque, No. 87, Plate XII.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16632762240","https://farm8.staticflickr.com/7628/16632762240_d9b9abc39e_m.jpg"
"34643","658","Torque","II","National Museum of Science & Art, Dublin, , Plate XII, 79, W 186","Ireland,Co. Wexford,near Enniscaothy","Enniscorthy, Co. Wexford, Ireland",,,"","None","None","None","","144 x 135","","148.34","","","7","","Gold","found with another torque, No. 87. Plate XII.","Made from a plain rod of circular section.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/16632762240","https://farm8.staticflickr.com/7628/16632762240_d9b9abc39e_m.jpg"
"34644","433","Ring Money or Hair Ring","","National Museum of Science and Art, Dublin,Plate XIV, 205.86.1917,Formerly in the possession of a Miss Maguire","Ireland,County Wexford","Co. Wexford, Ireland","52.465096","-6.623412700000017","","None","None","None","","17 x 16","","12.02","","","nearly 6","","Gold","","Unornamented.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16819080551","https://farm8.staticflickr.com/7655/16819080551_0e1bd853db_m.jpg"
