"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"15341","64","12 Copper Cake frags.","","LONDON, British Museum,WG 2163-2174","EAST SUSSEX,Lewes","Lewes, Lewes, East Sussex, UK","50.87387200000001","0.008780000000001564","","None","None","None","","","","","","","","","","","","","See new index,C1","Hugh Fiske","https://farm6.staticflickr.com/5608/15413819409_efc5ae743d_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819409"
"15341","734","12 ciooer caje frags,","RED DOT","LONDON, British Museum, ,    WG  2163-2179","EAST SUSSEX, Lewes","",,,"","None","None","None","","","","","","","","No illustration.","","","","","See new index.","Marilyn Kohn","https://farm6.staticflickr.com/5608/15413819409_efc5ae743d_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819409"
"15342","64","CAKE frag.","","LONDON, British Museum, 1933.4-6.127","EAST SUSSEX,Seaford,Sutton,Dug up in 1922","Seaford, East Sussex, UK","50.7734669","0.10110800000006748","TV 49 99","None","None","1922","61","45","","","","greeny-black","25","","","","","","C1","Hugh Fiske","https://farm4.staticflickr.com/3939/14980278853_2a5f8ccd37_b.jpg","https://www.flickr.com/photos/MicroPasts/14980278853"
"15342","652","CAKE frag.","TV 49, ,       99","London, British Museum, 1933. 4-6. 127","East Sussex, Seaford, Sutton, Dug up 1922","Sutton Road, Σίφορντ, Ανατολικό Σάσεξ BN25, Ηνωμένο Βασίλειο","50.7749096","0.11175900000000638","","None","None","None","61","45","","","","greeny-black","25","","","","","","","Maria Christakou","https://farm4.staticflickr.com/3939/14980278853_2a5f8ccd37_b.jpg","https://www.flickr.com/photos/MicroPasts/14980278853"
"15343","64","AXE BLADE FRAGMENT - probably Flanged axe.","","GODFREY, Mrs P. - private,50 Woodvale Ave, South Norwood,London SE 25","UNPROVENANCED","","50.7734669","0.10110800000006748","","None","None","None","EL 36.5; We 45.5; EBfg. 10.6; Te.bev. 7.7; De.bev. 17.0; EHfg. 0.8","","","","","rough textured, gold with much pale green - including break,almost certainly stripped","","Modern card, fields do not match data entry template","","","Typology: prob. near straight e.bev.; v. faint hint of a cable on one side,Manufacture: no bl. tip hollows,Condition: edge more of less intact","","","Hugh Fiske","https://farm4.staticflickr.com/3938/15576764616_b06eff9625_b.jpg","https://www.flickr.com/photos/MicroPasts/15576764616"
"15343",,"Axe Blade Fragment","","Godfrey, Mrs. P - private, , 50 Woodvale Ave, South Norwood, , London SE 25","unprovenanced","",,,"","12","7","1983","36.5","45.5","7.7","0.8","","rough textured, gold with much pale green - including break almost certainly stripped","17.0","","prob near straight e. bev; u faint hint of a cable on one side","","no bl tip hollows, , edge ore or less intact","","","Anon.","https://farm4.staticflickr.com/3938/15576764616_b06eff9625_b.jpg","https://www.flickr.com/photos/MicroPasts/15576764616"
"15344","64","AXE BLADE","J2","LONDON,,Society of Antiquarians collection,B.63","UNPROVENANCED","","50.7734669","0.10110800000006748","","None","None","None","EL 37.6; Ewe 56.0","","","","","varied dull - pale green - dry sur.","","Modern card, fields do not match data entry template","","","Labels/Markings: White ink inscr: 'B63',Manufacture: hints in break of longl. division in structure - valves?; stumps of eg. fh,Condition: part of e. broken in ant.; as is main break; rest of e. blunt - poss. corr. dam.; battering of one face - prob. anc.; modern cut out of one corner for anal?","","","Hugh Fiske","https://farm6.staticflickr.com/5602/15414442687_52518956cd_b.jpg","https://www.flickr.com/photos/MicroPasts/15414442687"
"15344","433","Axe Blade","J2","London, Society of Antiquaries Collection, B63","Unprovenanced","",,,"","None","None","None","38","","56","","","Varied dull-pale greens - dry sur.","","","Anal.?","","Dimensions: EL 37.6mm; EWe 56.0,Manufacture: hints in break of longl. division in structure - valves?; stumps of cg. fl.,Condition: part of e. broken in ant. as is main break; rest of the e. blunt - poss. corr. dam.; battering of one face - prob. anc.; modern but out of one corner for anal.?","","Labels/Markings: White ink inscr. 'B63',Arvhice PIF,PRBAF: DF (C); SI,Ext.: CI,Rec.: SN Feb 79,Source: MV","Joellen mcGann","https://farm6.staticflickr.com/5602/15414442687_52518956cd_b.jpg","https://www.flickr.com/photos/MicroPasts/15414442687"
"15345","64","WINGED AXE frag.","A5","AYLESBURY, Bucks. Co. Museum. 15.54","UNPROV.","","50.7734669","0.10110800000006748","","None","None","None","74","","","","","Badly corroded","","","","","","","ND 74","Hugh Fiske","https://farm4.staticflickr.com/3944/15414838870_eb9d909dd5_b.jpg","https://www.flickr.com/photos/MicroPasts/15414838870"
"15345","433","Winged Axe Fragment","A5","Aylesbury, Bucks. Co. Museum, 15.54","Unprov.","",,,"","None","None","None","74","","","","","Badly corroded.","","","","","","","ND 74","Joellen mcGann","https://farm4.staticflickr.com/3944/15414838870_eb9d909dd5_b.jpg","https://www.flickr.com/photos/MicroPasts/15414838870"
"15346","64","Winged Axe","A5","Canterbury Museum,2067,Copeland Collection","","","50.7734669","0.10110800000006748","","None","None","None","68","middle 24,butt 23","","137","dark & medium green","smooth, traces of light coloured earth nearly all over.","7,4.5,8","","","","","","","Hugh Fiske","https://farm4.staticflickr.com/3938/15413819009_83c389a957_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819009"
"15346","433","Winged Celt","A5","Canterbury Museum, 2067,Copeland Collection","","",,,"","None","None","None","68","24","","137","Dark and medium green patina","Smooth. Traces of light coloured earth nearly all over.","7","Width: middle 24mm; butt 23mm,Thickness: 7mm; 4.5mm; 8mm","","","","","","Joellen mcGann","https://farm4.staticflickr.com/3938/15413819009_83c389a957_b.jpg","https://www.flickr.com/photos/MicroPasts/15413819009"
"15347","64","Fragment of ?Flanged Celt","A5","Newcastle-upon-Tyne,Black Gate Museum No. 23","Locality unknown","","50.7734669","0.10110800000006748","","None","None","None","55","c. 24,c. 54","","103","","","c. 12","","","","","","A fragment has been No. 6","Hugh Fiske","https://farm4.staticflickr.com/3940/15413818909_674a35fd7e_b.jpg","https://www.flickr.com/photos/MicroPasts/15413818909"
