"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"26947","13","GOLD TORC, (Coiled as Armlet)","IIIa.","Christie's Sale 14.7.24, 493., Late Earl of Northesk (Rosehill Colln.).","Britain., ENGLAND.","England, UK","-1.1743197000000691","52.3555177","","None","None","None","147","55.5","","","","clean + bright","4","","gold.","","Double wire twisted spirally. typical straight processes at the two ends.","","","Lucy Ellis","https://farm9.staticflickr.com/8604/15318844043_cc9ebfe388_b.jpg","https://www.flickr.com/photos/MicroPasts/15318844043"
"26947",,"Gold Torc (coiled as amulet)","III a","Christie's Sale 14.7.24, 493, late Earl of Northesk (Rosehill Colln.)","Britain, England","England",,,"","None","None","None","147","55.5","","","","clean and bright","4","","gold","","Double wire twisted spirally, typical straight process at the two ends.","","","Anon.","https://farm9.staticflickr.com/8604/15318844043_cc9ebfe388_b.jpg","https://www.flickr.com/photos/MicroPasts/15318844043"
"26948","473","TORC + 2 BRACELETS","C","Salisbury Museum","Wilts., Barrow on Lake Down (WILSFORD parish), Presented by Rev. E Duke, G289 (Torc), G282, 283 (bracelets)","Wilsford, Grantham, Lincolnshire NG32, UK","-0.5085390000000416","52.97628599999999","","None","None","None","","","","","","","","- Bottom left initials: F.M.N, , - unsure about word before ""section"" in Associations.","All in bronze","2 1oz section bracelets","Bracelets have a square section, Torc twisted spiral except at back","PPS 1959","","Dina Fathalla","https://farm9.staticflickr.com/8570/15752339869_f03cbcf1c3_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339869"
"26948",,"Torc & 2 bracelets","drawn red dot, C","Salisbury Museum","Wilts, Barrow on Lake Down, (WILSFORD parish), Presented by Rev. E. Duke, G 289 (Torc), G 282. 283 (bracelets)","Wilsford, Grantham, Lincolnshire NG32, UK","-0.5085390000000416","52.97628599999999","","None","None","None","","","","","","","","","","2102 section bracelets","All in bronze.  Bracelets have a square section.  Torc twisted spiral except at back.","PPS 1959","F.M.M.","Anon.","https://farm9.staticflickr.com/8570/15752339869_f03cbcf1c3_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339869"
"26949","243","BRACELET","{Red Dot},P.","Salisbury Museum.,Presented by the Rev. E. Duke.,G. 282, 283.","WILTS,Barrow on Lake Down. (Wilsford Parish)","National Cycle Route 45, Salisbury, Wiltshire SP4 7BJ, UK","-1.8175666178710799","51.16296846041046","","None","None","None","","","","","","","","2 side profile drawings of bracelets attached to reverse.  Bracelets P & N shown on back of card, appears to be mostly ""P"" described on card.","Bronze.","Spiral-twisted torc & another loz-seeth bracelet.","Bracelets have a square section.","P.P.S. 1959.,W.A.M. XXXVII. 155.","af. card headed torc & 2 bracelets.","Jeff Okazaki","https://farm8.staticflickr.com/7514/15752339939_0fcb178164_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339939"
"26949","473","BRACELET.","P.","Salisbury Museum","WILTS, Barrow on Lake Down., (Wilsford Parish), Present by the Rev. E. Duke., G.282, 283.","Wilsford, Grantham, Lincolnshire NG32, UK","-0.5085390000000416","52.97628599999999","","None","None","None","","","","","","","","","Bronze.","Spiral-twisted torc + another 1oz-sectn bracelet.","Bracelets have a square section.","P.P.S. 1959., W.A.M.XXXVII. 155.","cf. card headed torc + 2 bracelets.","Dina Fathalla","https://farm8.staticflickr.com/7514/15752339939_0fcb178164_b.jpg","https://www.flickr.com/photos/MicroPasts/15752339939"
"26950","243","BRACELETS","{Red Dot},N.","Salisbury Museum.,Presented by the Rev. E. Duke.,G. 282, 283","WILTS.,Barrow on Lake Down. (Wilsford Parish.)","184 Salisbury Road, Amesbury, Salisbury, Wiltshire SP4 7HW, UK","-1.8148200358398299","51.157370314662764","","None","None","None","","","","","","","","2 side profile drawings of bracelets on reverse N and P.  This card appears to be mostly about item ""N""","Bronze.","Spiral-twisted torc and another loz-seath bracelet.","Bracelets have a square section.","P.P.S. 1959.,W.A.M. XXXVII. 155","of. Card headed Torc & 2 bracelets.","Jeff Okazaki","https://farm8.staticflickr.com/7582/15938379635_5c2f06486e_b.jpg","https://www.flickr.com/photos/MicroPasts/15938379635"
"26950","473","BRACELETS","N.","Salisbury Museum.","WILTS., Barrow on Lake Down., (Wilsford Parish.), Presented by the Rev. E. Duke., G.282, 283","Wiltshire, UK","-1.9922126999999819","51.2462714","","None","None","None","","","","","","","","","Bronze.","Spiral-twisted torc and another 1oz-sectn bracelet.","Bracelets have a square section.","P.P.S. 1959., W.A.M.XXXVII. 155.","cf. Card headed Torc + 2 bracelets.","Dina Fathalla","https://farm8.staticflickr.com/7582/15938379635_5c2f06486e_b.jpg","https://www.flickr.com/photos/MicroPasts/15938379635"
"26951","652","Bracelet      Hoard of 17 bronze [bangles]","","Salisbury Museum  on loan from Miss Belfield","Wilts,, Found in [MBA] lynchet at Mo[nts] Ho[ ] Ebbesbourne Wake in 1944","Γουιλσάιρ, Ηνωμένο Βασίλειο","-1.9922126999999819","51.2462714","J","None","None","None","","","","","B  [   ]   smooth with dark, thick patination","","","","","Hoard","","[USAM]  LII 104-`2   + [  l]","","Maria Christakou","https://farm8.staticflickr.com/7474/15912583286_a62188190e_b.jpg","https://www.flickr.com/photos/MicroPasts/15912583286"
"26951","658","BRACELET","J","Salisbury Museum,on loan from Miss Belfield.","Wilts,Found in lynchet at,Monks Hole, Ebbesborne Wake,,in 1944.","Ebbesbourne Wake, Salisbury, Wiltshire SP5, UK","-2.016818599999965","51.017573","","None","None","1944","","","","","B[...] smooth, with,dark, thick patination.","","","","","Hoard of 17 bronze bangles.,Howe.","","WAM LIII 104-12,& pl.","","Susan Magyarody","https://farm8.staticflickr.com/7474/15912583286_a62188190e_b.jpg","https://www.flickr.com/photos/MicroPasts/15912583286"
