"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"10193","6","Ferrule","IVB","London Museum A.23.","england,london,wandsworth","wandsworth, london","-1.958356e-01","51.46323","","None","None","1911","138","","","85","","Rough,Dark brown","","'OK' bottom left of card.","","","","","","Andrew Bevan","https://farm4.staticflickr.com/3838/14915210475_bb0624a2bd_b.jpg","https://www.flickr.com/photos/MicroPasts/14915210475"
"10193","433","Ferrule","IVBEnglan","London Museum A.23","england,london,wandsworth,1911","wandsworth, london","-1.946769e-01","51.46331","","None","None","1911","158","","","85","Dark brown","Rough","","","","","","","OK","Joellen mcGann","https://farm4.staticflickr.com/3838/14915210475_bb0624a2bd_b.jpg","https://www.flickr.com/photos/MicroPasts/14915210475"
"10194","6","Ferrule","IVA","London Museum A.13731","england,london,wandsworth","wandsworth, london","-1.943336e-01","51.46310","","None","None","1914","90","12","","35.05","","Corroded,Green.","","'hiaee' bottom right of card ?","","","","","","Andrew Bevan","https://farm6.staticflickr.com/5578/14914845972_132922fd9f_b.jpg","https://www.flickr.com/photos/MicroPasts/14914845972"
"10194","433","Ferrule","IVA","London Museum, A.13731","england,london,wandsworth,1914","wandsworth, london","-1.946769e-01","51.46326","","None","None","1914","90","12","","35","Green","Corroded","","Width: diameter of socket 12mm","","","","","Inacc.","Joellen mcGann","https://farm6.staticflickr.com/5578/14914845972_132922fd9f_b.jpg","https://www.flickr.com/photos/MicroPasts/14914845972"
"10195","6","Ferrule of spear","IIB","Reading Museum S247:45,Smith Collection","thames,berks.,caversham,,reading.,from the river thames","caversham","-9.747050e-01","51.46521","","None","None","1890","","","","","Light brown","Good","","'J. Wymer' bottom right of card.","Bronze","","A tapering, hollow casting with one rivet hole.,Broken in two pieces.","","","Andrew Bevan","https://farm6.staticflickr.com/5564/14892221936_a4effd505e_b.jpg","https://www.flickr.com/photos/MicroPasts/14892221936"
"10195","433","Ferrurle of Spear","IIB","Reading Museum S247:45,Smith Collection","england,bershire,coversham,reading,from the river thames in 1890","caversham","-9.760568e-01","51.46586","","None","None","1890","","","","","Light brown","Good","","","Bronze.","","A tapering, hollow casting with one rivet hole. Broken in two pieces.","","J. Wymer","Joellen mcGann","https://farm6.staticflickr.com/5564/14892221936_a4effd505e_b.jpg","https://www.flickr.com/photos/MicroPasts/14892221936"
"10196","433","Ferrule fragment","","London Museum, A.19778","england,berkshire,windsor,from the thames,1918","windsor, berkshire","-6.125458e-01","51.48532","","None","None","1918","100","14","","43","Bronze patina with white marks.","Slightly rough","","Width: Dia. 14mm,Weight:42.5 gms","","","","","Inacc.","Joellen mcGann","https://farm6.staticflickr.com/5588/14892221926_e11cef15c7_b.jpg","https://www.flickr.com/photos/MicroPasts/14892221926"
"10196","482","Ferrule fragment","","London Museum A.19778.","england, thames, windsor, berkshire","river thames windsor berkshire","-6.132490e-01","51.48592","","None","None","1918","100","","","42.5","Bronze with white marks","Slightly rough","","Few measurements, but includes one not listed: Diameter- 14mm","","","","","","scruffyarcher","https://farm6.staticflickr.com/5588/14892221926_e11cef15c7_b.jpg","https://www.flickr.com/photos/MicroPasts/14892221926"
"10197","433","Ferrule","IVB","London Museum, A.17579","england,kent,broadness,dredged up in the river thames,1892","swanscombe, kent","3.108658e-01","51.46744","","None","None","1892","163","12","","49","Brown","Smooth","","Width: dia. 12mm","","Part of Hoard.","","Proc. Soc. Antiq., vol. XXIII, p. 160","","Joellen mcGann","https://farm4.staticflickr.com/3844/14915210215_eb2034444f_b.jpg","https://www.flickr.com/photos/MicroPasts/14915210215"
"10197","482","Ferrule","IV B","London Museum A 17579","england, thames, kent, brondness","brondness kent","5.906122e-01","51.21027","","None","None","1892","163","","","49","","smooth brown","","Diameter 12mm., , Seems to be a problem geolocating these sites- does the system not recognise rivers as locations/","","Part of hoard","","Proc[eedings] [of the] Soc[iety] [of] Antiq[aries] vol[ume] xxiii fr[?] 160, , RF Jessup ""Kent"" 110- 263","dredged up in the river","scruffyarcher","https://farm4.staticflickr.com/3844/14915210215_eb2034444f_b.jpg","https://www.flickr.com/photos/MicroPasts/14915210215"
