"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"22959","433","Ring","","London, British Museum,93.6-18.12","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,Hoard I,1840","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","20","","","","","","","","7-13","Diameter: 31","","CI","Joellen mcGann","https://farm6.staticflickr.com/5564/14952000739_dc70712205_b.jpg","https://www.flickr.com/photos/MicroPasts/14952000739"
"22959","473","RING","","LONDON, British Museum, 93. 6-18. 12","HANTS, Selbourne, Blackmoor,, Woolmer Forest, Hoard I","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","20","","","","","","- New measurement: ""Diam. 31"", , - Bottom left corner: ND 74, , - Bottom right corner: C1","","7-13","","","","Dina Fathalla","https://farm6.staticflickr.com/5564/14952000739_dc70712205_b.jpg","https://www.flickr.com/photos/MicroPasts/14952000739"
"22960","433","Ring","","London, British Museum, 93.6-18.13","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,Hoard I,1840","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","10","","","","","","","","7-13","Diam.: 30","","CI","Joellen mcGann","https://farm4.staticflickr.com/3896/15138322212_1db5acc1b6_b.jpg","https://www.flickr.com/photos/MicroPasts/15138322212"
"22960","473","RING","","LONDON, British Musem, 93. 6-18. 13","HANTS, Selbourne, Blackmoor, Woolmer Forest, Hoard I","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1840","","10","","","","","","Diameter not transcribed: ""Diam. 30"", , Bottom left corner: ""ND 74"", , Bottom right corner: ""C1""","","7-13","","","","Dina Fathalla","https://farm4.staticflickr.com/3896/15138322212_1db5acc1b6_b.jpg","https://www.flickr.com/photos/MicroPasts/15138322212"
"22961","433","Spearhead","","London, British Museum, WG 2100","England,Hampshire,Selbourne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","317","30","","","","Small spots of green corrosion (Mar. 74)","","","","91.5-14.4-59; WG 2100-2112","","VCH Hants, I, 341, fig. 31.","CI","Joellen mcGann","https://farm6.staticflickr.com/5578/14952153168_fbd5d809cf_b.jpg","https://www.flickr.com/photos/MicroPasts/14952153168"
"22961","473","SPEARHEAD","","LONDON, British Museum, WG 2100","HANTS,, Selborne,, Blackmoor,, Woolmer Forest,, Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","317","30","","","","small spots of green corrosion (Mar. 74)","","- Bottom left corner: ND 74, , - Bottom right corner: C1","","91.5-14. 4-58, W.G. 2100-2112","","VCH Hants, 1, 341 fig.31","","Dina Fathalla","https://farm6.staticflickr.com/5578/14952153168_fbd5d809cf_b.jpg","https://www.flickr.com/photos/MicroPasts/14952153168"
"22962","243","Spearhead V A","P,{Red Dot}","British Museum,W.G. 2101,given by J. Pierpont Morgan Esq.,(Greenwell Collection),1909","England,Hants,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor & Blackmoor House.","A325, Bordon, Hampshire GU35 9BZ, UK","51.08772460193126","-0.8696374502929984","SU 78 33","None","None","1867","283","45","","255","metallic bronze","non-corroded,(March 1974 small spot of green corrosion)","18","3 cross section drawings of spearhead on reverse.,Mouth is circular with 32mm diameter from both sides.  Entire socket is cone-shaped running to tip at very point of blade.,Blade is roughly almond-shaped? with 4 ribs on either side, on both sides of blade faces. Edge is chipped, more on one side than other.","","2100-2112, 4 Spearheads 9 Lanceheads.","Ribbed blades, rivet holes.","Victoria Hist. Hants. 1, 341, ty 31.","AOK,ND 74,CI","Jeff Okazaki","https://farm6.staticflickr.com/5553/15138689215_2044f17dd4_b.jpg","https://www.flickr.com/photos/MicroPasts/15138689215"
"22962","433","Spearhead VA","P","British Muesum, W.G. 2101,Given by J. Pierpont Morgan, Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House.","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","233","45","","255","Metallic bronze","Non-corroded,(March 1974 small spot of green corrosion)","18","","","2100-2112; 4 Spearheads, 9 Lanceheads","Ribbed blades, rivet holes.","Victoria Hist.: Hants., 1, 241, fig. 31.","AOK,ND74,CI","Joellen mcGann","https://farm6.staticflickr.com/5553/15138689215_2044f17dd4_b.jpg","https://www.flickr.com/photos/MicroPasts/15138689215"
"22963","433","Spearhead","","London, British Museum, WG 2101","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","282","31","","","","Small spots of green corrosion (Mar. 74)","","","","91.5-14.4-58; W.G. 2100-2112","","VCH Hants, I, 341, fig. 31","ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3908/14952039760_f7abbea728_b.jpg","https://www.flickr.com/photos/MicroPasts/14952039760"
"22963","652","Spearhead","","London British Museum, WG 2101","Hants, Selborne, Blackmoor, Woolmer Forest 1867, Hoard 111","Woolmer Forest, Χαμσάιρ, Ηνωμένο Βασίλειο","51.0857837","-0.8658609000000297","","None","None","None","28231","","","","","small spots of green corrosion (Mar. 74)","","","","91.5-14. 4-58   W.G. 2100-2112","","VCH Hants, 1, 341, Ag. 31","ND 74","Maria Christakou","https://farm4.staticflickr.com/3908/14952039760_f7abbea728_b.jpg","https://www.flickr.com/photos/MicroPasts/14952039760"
"22963","769","SPEARHEAD","","LONDON,,British Museum,,WG 2101","HANTS,,Selborne,,Blackmoor,Woolmer Forest, 1867,,Hoard 111","",,,"","None","None","None","282","31","","","","small spots of green corrosion (Mar. 74)","","ND 74 (bottom left corner)","","91. 5-14. 4-58,W.G. 2100-2112","","VCH Hants, 1 341, Ag. 31","","Rosalind Wilkes","https://farm4.staticflickr.com/3908/14952039760_f7abbea728_b.jpg","https://www.flickr.com/photos/MicroPasts/14952039760"
"22964","433","Spearhead V A","T","British Museum,W.G. 2102,Given by J. Pierpont-Morgan Esq.,(Greenwell Collection),1909","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,Found about 1867 between Hogmoor and Blackmoor House","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","SU 78 33","None","None","1867","268","40","","215","Metallic bronze","Non-corroded","20","","","2100-2112: 4 Spearheads; 9 Lanceheads","Bevelled edges, rivet holes.","Victoria Hist. Hants, 1, 341, fig. 31.","Inacc,ND74,CI","Joellen mcGann","https://farm6.staticflickr.com/5592/15138321462_e26b21c651_b.jpg","https://www.flickr.com/photos/MicroPasts/15138321462"
"22964","652","Spearhead VA","","British Museum, , W.G. 2102, , Given by J. Pierpont- Morgan Esq., , (Greenweel Collection)  1909","England, hants, Selborne, Blacmkoor, Woolmen Forest, Found about 1867 between Holmoor + Blackmoor House","England Hants Selborne Blackmoor Woolmen Forest",,,"T","None","None","None","268","40","","215","metalic bronze","non corroded","20","4 Spearheads, , 9 [Lanerheads]","","2100-2112","Bevelled edges. rivet holes","Victoria Hist. Hants, , 1, 341, fig. 31","ND 74","Maria Christakou","https://farm6.staticflickr.com/5592/15138321462_e26b21c651_b.jpg","https://www.flickr.com/photos/MicroPasts/15138321462"
"22965","433","Spearhead","","London, British Museum, W. G. 2102","England,Hampshire,Selborne,Blackmoor,Woolmer Forest,1867,Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","269","26","","","","","","","","91.5-14.4-58; W.G. 2100-2112","","VCH Hants, 1, 341, fig. 31","ND74,CI","Joellen mcGann","https://farm4.staticflickr.com/3886/15138320952_d16fb1d0e3_b.jpg","https://www.flickr.com/photos/MicroPasts/15138320952"
"22965","473","SPEARHEAD","","LONDON, British Museum, WG 2102","HANTS,, Selborne,, Blackmoor,, Woolmer Forest,, Hoard III","Woolmer Forest, Hampshire, UK","51.0857837","-0.8658609000000297","","None","None","1867","269","26","","","","","","Bottom left corner: ND 74, , Bottom right corner: C1","","91. 5-14. 4-58, W.G. 2100-2112","","VCH Hants, 1, 341, fig.31","","Dina Fathalla","https://farm4.staticflickr.com/3886/15138320952_d16fb1d0e3_b.jpg","https://www.flickr.com/photos/MicroPasts/15138320952"
