"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"29608","580","Macehead","","B.M. 63 1-20.3","Wiltshire, Great Bedwyn","Great Bedwyn, Marlborough, Wiltshire SN8, Royaume-Uni","51.37982","-1.6028430000000071","SU 27 64","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://farm9.staticflickr.com/8683/16254038258_a45762e77b_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038258"
"29608","873","MACEHEAD","","BM 63 1-10.3","WILTSHIRE,Great Bedwyn","Great Bedwyn, Marlborough, Wiltshire SN8, UK","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","Nothing in top right hand corner, but top left hand corner contains SU 27 64, with the 27 and 64 being above each other.","","","","","","Jane Williams","https://farm9.staticflickr.com/8683/16254038258_a45762e77b_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038258"
"29609","580","Socketed Sickle","","London, British Museum, 62.12-9.2","No provenance","","51.37982","-1.6028430000000071","","None","None","None","127","28","","","","","","","","","Ribbed blade. V-ribson socket.","Fox, P.P.S. (1939), 246 no. 45","C1","Denis Antoine","https://farm8.staticflickr.com/7350/16255792247_fea9c81b3e_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792247"
"29609","873","SOCKETED SICKLE","","LONDON, British Museum,62.12-9.2","NO PROVENANCE","",,,"","None","None","None","127","28","","","","","","","Ribbed blade. V-ribson socket.","","","Fox, P.P.S. (1939), 246 no. 45","","Jane Williams","https://farm8.staticflickr.com/7350/16255792247_fea9c81b3e_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792247"
"29610","580","Socketed Hammer","","B.M. 54 12-27.36","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","C1","Denis Antoine","https://farm9.staticflickr.com/8651/16441706965_247b0479fb_b.jpg","https://www.flickr.com/photos/MicroPasts/16441706965"
"29610","873","SOCK HAMMER","","B.M  54  12-27.36","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm9.staticflickr.com/8651/16441706965_247b0479fb_b.jpg","https://www.flickr.com/photos/MicroPasts/16441706965"
"29611","580","2 Awls very thin","","BM unreg.","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7439/16254298080_0b83c43c9c_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298080"
"29611","873","2 AWLS,very thin","","BM unreg.","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7439/16254298080_0b83c43c9c_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298080"
"29612","580","Awl","","BM unreg.","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7345/15821643393_c992ed6fa4_b.jpg","https://www.flickr.com/photos/MicroPasts/15821643393"
"29612","873","AWL","No prov.","BM unreg.","","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7345/15821643393_c992ed6fa4_b.jpg","https://www.flickr.com/photos/MicroPasts/15821643393"
"29613","580","Macehead","","B.M. 88 7-19.33","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8660/16255792317_b72bf18277_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792317"
"29613","873","MACEHEAD","","BM 88 7-19 33","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm9.staticflickr.com/8660/16255792317_b72bf18277_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792317"
"29614","580","Macehead","","B.M. Tr. 143","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8592/16254038328_d4c9d8c40f_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038328"
"29614","873","MACEHEAD","","BM Tr. 143","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm9.staticflickr.com/8592/16254038328_d4c9d8c40f_b.jpg","https://www.flickr.com/photos/MicroPasts/16254038328"
"29615","580","Macehead","","B.M. 88. 7-19.34","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7281/16255792347_515fd4f430_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792347"
"29615","873","MACEHEAD","","B.M. 88.7-19.34","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7281/16255792347_515fd4f430_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792347"
"29616","580","Macehead","","B.M. 78. 11-1.229","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8665/16255453269_27473cfb5d_b.jpg","https://www.flickr.com/photos/MicroPasts/16255453269"
"29616","873","MACEHEAD","","B.M.  78.11-1.229","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm9.staticflickr.com/8665/16255453269_27473cfb5d_b.jpg","https://www.flickr.com/photos/MicroPasts/16255453269"
"29617","580","Socketed Gouge","","B.M. 78. 11-1.225","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7318/16254298240_8fe0f742d7_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298240"
"29617","873","SOCKETED GOUGE","","B.M.  78.11-1.225","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7318/16254298240_8fe0f742d7_b.jpg","https://www.flickr.com/photos/MicroPasts/16254298240"
"29618","580","Socketed Gouge","","B.M. 78. 11-1.224","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7446/16439934391_e077747e40_b.jpg","https://www.flickr.com/photos/MicroPasts/16439934391"
"29618","873","SOCK. GOUGE","","B.M.  78.11-1.224","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7446/16439934391_e077747e40_b.jpg","https://www.flickr.com/photos/MicroPasts/16439934391"
"29619","580","Socketed Gouge","","B.M. 78. 11-1.223","No provenance","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm9.staticflickr.com/8623/16439934451_87e302701c_b.jpg","https://www.flickr.com/photos/MicroPasts/16439934451"
"29619","873","SOCKETED GOUGE","","B.M.  78.11-1.223","No prov.","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm9.staticflickr.com/8623/16439934451_87e302701c_b.jpg","https://www.flickr.com/photos/MicroPasts/16439934451"
"29620","580","Tanged Chisel Collared","","B.M. 1920. 11-9.7","? Great Britain","","51.37982","-1.6028430000000071","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7428/16255453539_4b5a3739b7_b.jpg","https://www.flickr.com/photos/MicroPasts/16255453539"
"29620","873","TANGED CHISEL,collared","","B.M. 1920.11-9.7","?GREAT BRITAIN","",,,"","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7428/16255453539_4b5a3739b7_b.jpg","https://www.flickr.com/photos/MicroPasts/16255453539"
"29621","580","Socketed Chisel","","B.M. 91. 5-14.62","R. Thames","","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7458/16255792597_9acaff6c53_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792597"
"29621","873","SOCK CHISEL","","B.M.  91.5-14.62","R THAMES","River Thames","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7458/16255792597_9acaff6c53_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792597"
"29622","580","Tanged Chisel","","British Museum 65.1-25.2","River Thames","","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7403/15819189744_9390018707_b.jpg","https://www.flickr.com/photos/MicroPasts/15819189744"
"29622","873","TANGED CHISEL,collared","","British Museum 65.1-25.2","RIVER THAMES","River Thames","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7403/15819189744_9390018707_b.jpg","https://www.flickr.com/photos/MicroPasts/15819189744"
"29623","580","Tanged Chisel double collared","","B.M. W.G. 1760","R. Thames","","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","CI","Denis Antoine","https://farm8.staticflickr.com/7449/15821643973_646e5e7d26_b.jpg","https://www.flickr.com/photos/MicroPasts/15821643973"
"29623","873","TANGED CHISEL,double collared","","B.M.   W.G.1760","R. THAMES","River Thames","51.4917059","0.7321755000000394","","None","None","None","","","","","","","","","","","","","","Jane Williams","https://farm8.staticflickr.com/7449/15821643973_646e5e7d26_b.jpg","https://www.flickr.com/photos/MicroPasts/15821643973"
"29624","580","Socketed Chisel Axe-like","","London, British Museum. WG 2161","East Sussex, Lewes","Lewes, Lewes, Sussex de l'Est, Royaume-Uni","50.87387200000001","0.008780000000001564","TQ 41 10","None","None","None","","","","","","","","","","","","","See new index, CI","Denis Antoine","https://farm8.staticflickr.com/7456/16255792647_23e5bb101f_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792647"
"29624","873","SOCKETED CHISEL,Axe-like","","LONDON, British Museum.WG 2161","EAST SUSSEX,Lewes","Lewes, Lewes, East Sussex, UK","50.87387200000001","0.008780000000001564","TQ 41 10","None","None","None","","","","","","","","Grid reference has 41 on top of 10.","","","","","See new index","Jane Williams","https://farm8.staticflickr.com/7456/16255792647_23e5bb101f_b.jpg","https://www.flickr.com/photos/MicroPasts/16255792647"
"29625","580","Socketed Gouge","","British Museum 1910. 6-18. 3.","England, Sussex East, Alfriston","Alfriston, Polegate, East Sussex BN26, Royaume-Uni","50.808344","0.15635900000006586","TQ 51 03","None","None","None","112","diameter of socket 20","","83","green & grey.","smooth generally but slightly encrusted.","","","","","Bad casting with 3 flaws, two close together about 1/2"" from mouth of socket, the other about 2"" from it. Circular socket edge somewhat chipped","","OK (needs 2nd. section), CI","Denis Antoine","https://farm8.staticflickr.com/7313/16255454239_788cfcc281_b.jpg","https://www.flickr.com/photos/MicroPasts/16255454239"
"29625","873","Socketed Gouge","","British Museum 1910.6-18.3.","England,SUSSEX EAST,Alfriston","Alfriston, Polegate, East Sussex BN26, UK","50.808344","0.15635900000006586","TQ 51 03","None","None","None","112","","","83","Green and grey.","smooth generally but slightly encrusted.","","Width entry says ""diameter of socket 20mm"", , Think first measurement in description reads 1/2"" but unclear","","","Bad casting with 3 flaws, two close together about 1/2"" from mouth of socket, the other about 2"" from it.  Circular socket; edge somewhat chipped","","OK (needs 2nd section)","Jane Williams","https://farm8.staticflickr.com/7313/16255454239_788cfcc281_b.jpg","https://www.flickr.com/photos/MicroPasts/16255454239"
