"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"30249",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm8.staticflickr.com/7433/16263331920_e9e18a8cb9_b.jpg",,"merged",,,"bmswords"
"30250","580","Sword","prob. II d.","BM, unregistered.","? Britain, unknown provenance.","",,,"","None","None","None","","","","","","","","","","","4 rivets (2 + 2) in shoulder, 2 in grip. 2 ribs down web of grip.","","CI","Denis Antoine","https://farm8.staticflickr.com/7433/16263060728_59d748e80d_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060728","superuser",,,"bmswords"
"30251","580","Leaf Shaped Sword","II d","British Museum. 66 6 27 114, Christy Collection (lot 132)","Locality unknown","",,,"","None","None","None","467","blade 32.5; 23; hilt 44; 19; 15; 27.5","","368.55","","rather rough, dull bronze","blade 7","","","","6 rivet holes, 1 rivet & part of 2 others in holes.","","Drawing somewhat inaccurate., CI","Denis Antoine","https://farm8.staticflickr.com/7408/16263060788_28a3aa7885_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060788","superuser",,,"bmswords"
"30252","243","Leaf shaped sword","IVa","British Museum,Christy Colln.,66.6-27.113,Iol 73.","? Britain,Locality unknown","Great Britain, United Kingdom","53.7190281","-2.0727838999999904","","None","None","None","429","hilt 43 22 20 15 28","blade 24 32 27 35","361.46","slight patina dark brown","pitted & rather rusty","blade 7","2 cross section drawings of sword on reverse.,Blade in drawing does not appear particularly leaf shaped, tapers slightly from hilt about 1/4 way down blade, then widens slightly the next 2/4, then tapers again to tip.,2 rivet holes horizontally on hilt directly below blade, then two more in line vertically on grip portion.","","","4 rivet holes,Blade broken across & mended","","Drawing inaccurate (somewhat),CI","Jeff Okazaki","https://farm9.staticflickr.com/8661/16449801482_1714de8628_b.jpg","https://www.flickr.com/photos/MicroPasts/16449801482","superuser",-2.0728,53.719,"bmswords"
"30253",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm9.staticflickr.com/8582/16264843797_dcafeb60b9_b.jpg",,"merged",,,"bmswords"
"30254","580","Leaf Shaped Sword","II a","British Museum, 56 7 1 1353 CRS. } ? ref.","England, R. Thames","Tamise","51.4917059","0.7321755000000394","","None","None","None","620","blade 43; 31.5; hilt 53","","601.35","slight patina greenish brown.","rough, with some whitish encrustations.","blade 7","","","","Hilt broken. 3 rivets. Blade is twisted.","","Inacc. drawing, CI","Denis Antoine","https://farm9.staticflickr.com/8676/15828226204_1f81202493_b.jpg","https://www.flickr.com/photos/MicroPasts/15828226204","superuser",0.7322,51.4917,"bmswords"
"30255","580","Leaf Shaped Sword","IV b","British Museum 64 9 3 5","England, R. Thames","Tamise","51.4917059","0.7321755000000394","","None","None","None","636","blade 42; 31, 45; hilt 56; 22; 25.5; 33","","741.1","black stains on dull bronze.","very finely mottled.","blade 7; hilt 7","","","","9 rivet holes","","Hilt section, Drawing not quite accurate., CI","Denis Antoine","https://farm8.staticflickr.com/7408/16264843847_95058d2097_b.jpg","https://www.flickr.com/photos/MicroPasts/16264843847","superuser",0.7322,51.4917,"bmswords"
"30256",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm8.staticflickr.com/7415/15830673223_8bbc67a084_b.jpg",,"merged",,,"bmswords"
"30257",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm8.staticflickr.com/7330/16424750356_539dd6ba59_b.jpg",,"merged",,,"bmswords"
"30258",,,,,,,,,,,,,,,,,,,,,,,,,,,"https://farm9.staticflickr.com/8647/16263061088_0a017c932f_b.jpg",,"merged",,,"bmswords"
